Plot,Midges,Insecticides,Block,Date,Year,Total,Mites,Springtails,Beetles,Spiders,Bugs,Stern,Auchenorrhyncha,Thyanosoptera,Araneae,Linyphiidae,Lycosidae,Gnaphosidae,Thomisidae,Opiliones,Coleoptera,Ptinidae,Cryptophagidae,Staphylinidae,Carabidae,Curculionidae,Coleoptera Larval,Collembola,Entomobryidae,Isotomidae,Hypogastruridae,Neelidae,Neanuridae,Onychuridae,Poduridae,Sminthuridae,Tomoceridae,Oribatida,Mesostigmata,Prostigmata,Diptera,Psyliidae,Aphididae,Coccoidea,Miridae,Saldidae,Tingidae,Nabidae,Microphysid,Hymenoptera,Lepidoptera
1,No Midges,No Insecticides,1,4-Jul-17,2017,5366,3667,1533,33,33,0,100,0,0,0,33,0,0,0,0,0,0,0,0,0,0,33,0,333,1000,0,0,0,0,0,200,0,3067,600,0,0,0,100,0,0,0,0,0,0,0,0
2,Midges,No Insecticides,1,4-Jul-17,2017,3000,2033,800,0,100,0,67,0,0,0,100,0,0,0,0,33,0,0,0,0,0,0,0,267,200,0,0,0,0,0,333,0,1300,733,0,0,0,67,0,0,0,0,0,0,0,0
6,Midges,No Insecticides,2,4-Jul-17,2017,2665,1533,1032,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,433,33,0,0,0,0,333,0,1200,333,0,67,0,33,0,0,0,0,0,0,0,0
7,No Midges,No Insecticides,2,4-Jul-17,2017,1000,700,100,67,33,0,100,0,0,0,33,0,0,0,0,67,0,0,0,0,0,67,0,33,0,0,0,0,0,0,67,0,567,133,0,0,0,100,0,0,0,0,0,0,0,0
9,Midges,No Insecticides,3,4-Jul-17,2017,6100,3900,1200,67,67,0,500,0,0,0,67,0,0,0,0,67,0,0,0,0,0,67,0,500,267,33,0,0,0,0,400,0,3367,533,300,33,0,0,500,0,0,0,0,0,33,0
11,No Midges,No Insecticides,3,4-Jul-17,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Midges,No Insecticides,4,4-Jul-17,2017,1765,1333,266,0,33,0,100,0,0,0,33,0,0,0,0,33,0,0,0,0,0,0,0,133,33,0,0,0,0,0,100,0,1033,300,0,33,0,100,0,0,0,0,0,0,0,0
16,No Midges,No Insecticides,4,4-Jul-17,2017,800,600,133,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,400,200,67,0,0,0,0,0,0,0,0,0,0,0
18,No Midges,No Insecticides,5,4-Jul-17,2017,4167,3666,67,0,67,0,167,167,0,0,67,0,0,0,0,67,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,1633,2033,0,0,0,167,0,0,0,0,0,0,33,0
20,Midges,No Insecticides,5,4-Jul-17,2017,10633,7867,2333,0,100,0,100,167,0,0,100,0,0,0,0,67,0,0,0,0,0,0,0,1567,733,0,0,0,0,0,33,0,5067,2800,33,33,0,100,0,0,0,0,0,0,0,0
22,Midges,No Insecticides,6,4-Jul-17,2017,3631,2866,666,0,33,0,33,33,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,100,33,0,0,0,0,0,533,0,2433,433,0,0,33,0,0,0,0,0,0,0,0,0
24,No Midges,No Insecticides,6,4-Jul-17,2017,11098,8400,1999,0,133,0,233,167,33,0,133,0,0,0,0,33,0,0,0,0,0,0,0,1533,133,33,0,0,0,0,300,0,5933,2467,33,67,0,233,0,0,0,0,0,0,33,0
25,No Midges,No Insecticides,7,4-Jul-17,2017,2167,1900,167,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,67,0,1267,633,0,33,0,0,0,0,0,0,0,0,0,0
