Plot,Treatment,Block,Bag Number,Set Date,Month,Set Weigh,Extraction Date,Extraction Weight,Tremain,Premain,Ploss
1,Control,1,2,24-Jun-17,0,2.2,22-Aug-17,2.2,0,1,0
7,Control,2,2,24-Jun-17,0,2.06,22-Aug-17,2.06,0,1,0
11,Control,3,2,24-Jun-17,0,2.11,22-Aug-17,2.11,0,1,0
16,Control,4,2,24-Jun-17,0,2.13,22-Aug-17,2.13,0,1,0
18,Control,5,2,24-Jun-17,0,2.36,22-Aug-17,2.36,0,1,0
24,Control,6,2,24-Jun-17,0,2.22,22-Aug-17,2.22,0,1,0
25,Control,7,2,24-Jun-17,0,2.2,22-Aug-17,2.2,0,1,0
30,Control,8,2,24-Jun-17,0,2.17,22-Aug-17,2.17,0,1,0
1,Control,1,2,24-Jun-17,2,2.2,22-Aug-17,1.33,0.87,0.6045,0.395454545
7,Control,2,2,24-Jun-17,2,2.06,22-Aug-17,1.2,0.86,0.5825,0.417475728
11,Control,3,2,24-Jun-17,2,2.11,22-Aug-17,1.19,0.92,0.564,0.436018957
16,Control,4,2,24-Jun-17,2,2.13,22-Aug-17,1.4,0.73,0.6573,0.342723005
18,Control,5,2,24-Jun-17,2,2.36,22-Aug-17,1.8,0.56,0.7627,0.237288136
24,Control,6,2,24-Jun-17,2,2.22,22-Aug-17,0.81,1.41,0.3649,0.635135135
25,Control,7,2,24-Jun-17,2,2.2,22-Aug-17,0.87,1.33,0.3955,0.604545455
30,Control,8,2,24-Jun-17,2,2.17,22-Aug-17,0.94,1.23,0.4332,0.566820276
1,Control,1,3,24-Jun-17,12,2.26,27-Jun-18,0.842,1.42,0.3726,0.628318584
7,Control,2,3,24-Jun-17,12,2.15,27-Jun-18,0.869,1.28,0.4042,0.595348837
11,Control,3,1,24-Jun-17,12,2.38,27-Jun-18,0.7556,1.62,0.3175,0.680672269
16,Control,4,1,24-Jun-17,12,2.13,27-Jun-18,0.4979,1.63,0.2338,0.765258216
18,Control,5,1,24-Jun-17,12,2.02,27-Jun-18,0.6411,1.38,0.3174,0.683168317
24,Control,6,1,24-Jun-17,12,2.18,27-Jun-18,0.5367,1.64,0.2462,0.752293578
25,Control,7,1,24-Jun-17,12,2.25,27-Jun-18,0.5907,1.66,0.2625,0.737777778
30,Control,8,1,24-Jun-17,12,2.34,27-Jun-18,0.5113,1.83,0.2185,0.782051282
1,Control,1,1,24-Jun-17,14,2.01,6-Aug-18,0.5702,1.44,0.2837,0.71641791
7,Control,2,1,24-Jun-17,14,2.06,6-Aug-18,0.4695,1.59,0.2279,0.77184466
11,Control,3,3,24-Jun-17,14,2.24,6-Aug-18,0.5834,1.66,0.2604,0.741071429
16,Control,4,3,24-Jun-17,14,2.41,6-Aug-18,0.5593,1.85,0.2321,0.767634855
18,Control,5,3,24-Jun-17,14,2.35,6-Aug-18,0.8338,1.52,0.3548,0.646808511
24,Control,6,3,24-Jun-17,14,2.15,6-Aug-18,0.3276,1.82,0.1524,0.846511628
25,Control,7,3,24-Jun-17,14,2.03,6-Aug-18,0.3645,1.67,0.1796,0.822660099
30,Control,8,3,24-Jun-17,14,2.2,6-Aug-18,0.1709,2.03,0.0777,0.922727273
2,Midges added,1,2,24-Jun-17,0,2.13,22-Aug-17,2.13,0,1,0
6,Midges added,2,2,24-Jun-17,0,2.05,22-Aug-17,2.05,0,1,0
9,Midges added,3,2,24-Jun-17,0,2.02,22-Aug-17,2.02,0,1,0
15,Midges added,4,2,24-Jun-17,0,2.32,22-Aug-17,2.32,0,1,0
20,Midges added,5,3,24-Jun-17,0,2.05,22-Aug-17,2.05,0,1,0
22,Midges added,6,2,24-Jun-17,0,2.07,22-Aug-17,2.07,0,1,0
28,Midges added,7,2,24-Jun-17,0,2.3,22-Aug-17,2.3,0,1,0
32,Midges added,8,2,24-Jun-17,0,2.03,22-Aug-17,2.03,0,1,0
2,Midges added,1,2,24-Jun-17,2,2.13,22-Aug-17,1.14,0.99,0.5352,0.464788732
6,Midges added,2,2,24-Jun-17,2,2.05,22-Aug-17,1.23,0.82,0.6,0.4
9,Midges added,3,2,24-Jun-17,2,2.02,22-Aug-17,0.89,1.13,0.4406,0.559405941
15,Midges added,4,2,24-Jun-17,2,2.32,22-Aug-17,1.23,1.09,0.5302,0.469827586
20,Midges added,5,3,24-Jun-17,2,2.05,22-Aug-17,1.8,0.25,0.878,0.12195122
22,Midges added,6,2,24-Jun-17,2,2.07,22-Aug-17,1.11,0.96,0.5362,0.463768116
28,Midges added,7,2,24-Jun-17,2,2.3,22-Aug-17,0.92,1.38,0.4,0.6
32,Midges added,8,2,24-Jun-17,2,2.03,22-Aug-17,0.91,1.12,0.4483,0.551724138
2,Midges added,1,3,24-Jun-17,12,2.27,27-Jun-18,0.5458,1.72,0.2404,0.757709251
6,Midges added,2,1,24-Jun-17,12,2.46,27-Jun-18,0.97,1.49,0.3943,0.605691057
9,Midges added,3,1,24-Jun-17,12,2.32,27-Jun-18,0.7691,1.55,0.3315,0.668103448
15,Midges added,4,1,24-Jun-17,12,2.24,27-Jun-18,0.8197,1.42,0.3659,0.633928571
20,Midges added,5,1,24-Jun-17,12,2.31,27-Jun-18,0.4241,1.89,0.1836,0.818181818
22,Midges added,6,1,24-Jun-17,12,2.23,27-Jun-18,0.3717,1.86,0.1667,0.834080717
28,Midges added,7,1,24-Jun-17,12,2.15,27-Jun-18,0.3816,1.77,0.1775,0.823255814
32,Midges added,8,1,24-Jun-17,12,2.04,27-Jun-18,0.3558,1.68,0.1744,0.823529412
2,Midges added,1,1,24-Jun-17,14,2.14,6-Aug-18,0.3952,1.74,0.1847,0.813084112
6,Midges added,2,3,24-Jun-17,14,2.08,6-Aug-18,0.4787,1.6,0.2301,0.769230769
9,Midges added,3,3,24-Jun-17,14,2.1,6-Aug-18,0.1837,1.92,0.0875,0.914285714
15,Midges added,4,3,24-Jun-17,14,2.09,6-Aug-18,0.5049,1.59,0.2416,0.76076555
20,Midges added,5,2,24-Jun-17,14,2.16,6-Aug-18,0.2319,1.93,0.1074,0.893518519
22,Midges added,6,3,24-Jun-17,14,2.36,6-Aug-18,0.142,2.22,0.0602,0.940677966
28,Midges added,7,3,24-Jun-17,14,2.12,6-Aug-18,0.3277,1.79,0.1546,0.844339623
32,Midges added,8,3,24-Jun-17,14,2.09,6-Aug-18,0.2131,1.88,0.102,0.899521531
