Plot,Midges,Insecticides,Block,Year,ARUV,BAAL,BARE,BENA,BIVI,CAVU,CEFO,DET,EMNI,EQUI,FROG,FLEA,FRASS,GAVE,GRASS,JUCO,LB,LICH,MOSS,SALA,SALI,SAPH,SIAC,THAL,THYP,VAUL
1,No Midges,No Insecticides,1,2017,13,0,0,6,0,0,0,2,22,0,0,0,0,0,39,0,1,18,0,0,0,0,0,0,0,0
2,Midges,No Insecticides,1,2017,17,0,0,40,0,6,0,1,4,0,0,0,0,0,31,0,1,2,0,0,0,0,0,0,0,0
3,No Midges,Insecticides,1,2017,24,3,0,9,0,5,1,5,23,0,0,0,0,0,21,0,1,10,0,0,0,0,0,0,0,0
4,Midges,Insecticides,1,2017,12,8,0,19,0,1,0,1,30,0,0,0,0,0,29,0,1,2,0,0,0,0,0,0,0,0
5,Midges,Insecticides,2,2017,23,1,0,5,0,18,0,6,12,0,0,0,0,0,32,0,2,3,0,0,0,0,1,0,0,0
6,Midges,No Insecticides,2,2017,16,0,0,11,1,8,0,5,33,0,0,0,0,0,16,0,0,13,0,0,0,0,0,0,0,0
7,No Midges,No Insecticides,2,2017,14,2,0,22,0,4,0,4,21,0,0,0,0,0,24,0,1,11,0,0,0,0,0,0,0,0
8,No Midges,Insecticides,2,2017,3,0,0,59,0,1,0,1,6,0,0,0,1,0,29,0,1,2,0,0,0,0,0,0,0,0
9,Midges,No Insecticides,3,2017,1,3,0,61,0,10,0,1,1,0,0,1,0,0,24,0,1,0,0,0,0,0,0,0,0,0
10,No Midges,Insecticides,3,2017,18,0,0,7,0,7,0,10,34,0,0,0,0,0,22,0,1,1,0,0,0,0,0,2,0,0
11,No Midges,No Insecticides,3,2017,16,0,0,8,0,0,0,0,17,0,0,0,0,0,53,0,1,2,0,0,0,0,0,5,0,0
12,Midges,Insecticides,3,2017,2,0,0,67,0,0,0,1,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4
13,No Midges,Insecticides,4,2017,0,0,0,83,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
14,Midges,Insecticides,4,2017,6,0,0,46,0,0,0,1,12,0,0,0,0,0,34,0,1,0,0,0,0,1,0,1,0,1
15,Midges,No Insecticides,4,2017,21,0,0,31,0,0,0,2,10,0,0,0,0,0,31,0,1,4,0,0,0,0,0,2,0,0
16,No Midges,No Insecticides,4,2017,12,2,0,24,0,1,0,2,29,0,1,0,0,0,27,0,1,2,0,0,0,0,0,1,0,0
17,Midges,Insecticides,5,2017,1,0,0,74,0,1,0,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,2
18,No Midges,No Insecticides,5,2017,2,2,0,75,1,0,0,0,7,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,2
19,No Midges,Insecticides,5,2017,13,1,0,47,0,5,0,0,11,0,0,0,0,0,23,0,1,0,0,0,0,0,0,1,0,0
20,Midges,No Insecticides,5,2017,2,0,0,81,0,0,0,0,1,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,1,0
21,Midges,Insecticides,6,2017,3,1,0,63,0,10,0,1,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,1,0
