Plot,Treatment,AMF,Saprophytic,Gm_negative,Gm_positive,Bacteria,Fungi,Total
1,Press,0.0025,0.0416,0.018,0.0104,0.0284,0.0441,0.0725
2,Pulse 2008,0.0034,0.0474,0.0171,0.0098,0.0269,0.0508,0.0777
3,Press,0.0044,0.0555,0.0289,0.0186,0.0475,0.0599,0.1074
4,Pulse,0.0037,0.0488,0.0171,0.0103,0.0274,0.0525,0.0799
5,Press,0.0011,0.0182,0.0055,0.0032,0.0087,0.0193,0.028
6,Pulse 2008,0.0019,0.0359,0.0153,0.009,0.0243,0.0378,0.0621
7,Pulse 2008,0,0.0143,0.0037,0.0021,0.0058,0.0143,0.0201
8,Press,0.0032,0.0495,0.015,0.0077,0.0227,0.0527,0.0754
9,Pulse 2008,0.002,0.026,0.0068,0.0036,0.0104,0.028,0.0384
10,Press,0.004,0.0256,0.0121,0.0077,0.0198,0.0296,0.0494
100,Control,0.0028,0.0375,0.0165,0.0093,0.0258,0.0403,0.0661
101,Pulse 2011,0.0014,0.0161,0.0081,0.0047,0.0128,0.0175,0.0303
102,Control,0.001,0.0194,0.0076,0.0055,0.0131,0.0204,0.0335
103,Control,0.0017,0.0228,0.0093,0.0053,0.0146,0.0245,0.0391
104,Pulse 2011,0,0.0155,0.01,0.006,0.016,0.0155,0.0315
105,Control,0.0014,0.0099,0.0065,0.0036,0.0101,0.0113,0.0214
106,Pulse 2011,0.0017,0.0166,0.0092,0.0053,0.0145,0.0183,0.0328
107,Pulse 2011,0.0016,0.0216,0.0067,0.0057,0.0124,0.0232,0.0356
108,Control,0.0024,0.0203,0.0095,0.0051,0.0146,0.0227,0.0373
11,Press,0.0073,0.0843,0.0289,0.017,0.0459,0.0916,0.1375
110,Control,0.0015,0.0196,0.0079,0.0042,0.0121,0.0211,0.0332
111,Control,0.0023,0.0142,0.0076,0.0047,0.0123,0.0165,0.0288
112,Pulse 2011,0.0015,0.0105,0.0055,0.0025,0.008,0.012,0.02
12,Press,0.0062,0.0624,0.0296,0.0192,0.0488,0.0686,0.1174
13,Pulse 2008,0,0.0041,0.0009,0,0.0009,0.0041,0.005
14,Press,0.0038,0.0267,0.0109,0.0072,0.0181,0.0305,0.0486
15,Pulse 2008,0.0036,0.0508,0.0096,0.0065,0.0161,0.0544,0.0705
16,Pulse 2008,0.0041,0.0461,0.018,0.0105,0.0285,0.0502,0.0787
17,Control,0,0.0053,0,0,0,0.0053,0.0053
18,Control,0.0019,0.0298,0.0133,0.0074,0.0207,0.0317,0.0524
19,Control,0.0029,0.0371,0.0165,0.0117,0.0282,0.04,0.0682
