plot,paired_plot,treatment,CO2_flux
19,3,Control,2372.766388
21,5,Control,2631.883976
24,8,Control,2951.388588
26,10,Control,2602.365487
27,11,Control,3697.420376
30,14,Control,4193.829242
49,17,Control,3398.471582
50,18,Control,2113.689489
52,20,Control,2652.122588
61,29,Control,1808.178288
98,41,Control,2397.271437
100,42,Control,2127.103257
103,44,Control,1950.762288
1,1,Press,3920.838889
3,3,Press,3795.766197
5,5,Press,3182.482822
11,11,Press,6508.310083
12,12,Press,3814.599884
33,17,Press,4931.312088
36,20,Press,3771.255966
38,22,Press,4032.331808
40,24,Press,5533.810203
41,25,Press,3307.536251
45,29,Press,5420.38834
