run_date,run,Day,plot,treatment,CO2_flux
7/10/2011,1,0,17,Control,631.2719013
7/10/2011,1,0,19,Control,909.5247514
7/10/2011,1,0,21,Control,836.77636
7/10/2011,1,0,24,Control,833.1996363
7/10/2011,1,0,26,Control,881.2917726
7/10/2011,1,0,27,Control,1260.901203
7/10/2011,1,0,28,Control,1262.393015
7/10/2011,1,0,30,Control,902.0561679
7/10/2011,1,0,49,Control,1038.312632
7/10/2011,1,0,50,Control,822.3113302
7/10/2011,1,0,52,Control,945.4841796
7/10/2011,1,0,54,Control,834.6632781
7/10/2011,1,0,56,Control,534.7359287
7/10/2011,1,0,57,Control,584.6198941
7/10/2011,1,0,61,Control,1111.256964
7/10/2011,1,0,63,Control,760.9292851
7/10/2011,1,0,98,Control,873.6478578
7/10/2011,1,0,100,Control,669.25721
7/10/2011,1,0,102,Control,564.4402131
7/10/2011,1,0,103,Control,710.1954887
7/10/2011,1,0,105,Control,904.0472512
7/10/2011,1,0,108,Control,920.828443
7/10/2011,1,0,110,Control,933.1142149
7/10/2011,1,0,111,Control,756.5204454
7/10/2011,1,0,1,Press,1559.37454
7/10/2011,1,0,3,Press,1442.304394
7/10/2011,1,0,5,Press,1345.503619
7/10/2011,1,0,8,Press,1259.902447
7/10/2011,1,0,10,Press,1268.814479
7/10/2011,1,0,11,Press,2738.879196
7/10/2011,1,0,12,Press,1005.688209
7/10/2011,1,0,14,Press,2136.16639
7/10/2011,1,0,33,Press,1649.399152
7/10/2011,1,0,34,Press,1630.057495
7/10/2011,1,0,36,Press,1360.048075
7/10/2011,1,0,38,Press,1702.916697
7/10/2011,1,0,40,Press,2125.529947
7/10/2011,1,0,41,Press,1156.455059
7/10/2011,1,0,45,Press,2052.670332
7/10/2011,1,0,47,Press,1698.822581
7/12/2011,2,3,17,Control,328.4562052
7/12/2011,2,3,19,Control,555.2733152
7/12/2011,2,3,21,Control,653.1127176
7/12/2011,2,3,24,Control,438.6039547
7/12/2011,2,3,26,Control,308.207448
7/12/2011,2,3,27,Control,679.3032462
7/12/2011,2,3,28,Control,591.1081608
7/12/2011,2,3,30,Control,1554.972327
7/12/2011,2,3,49,Control,494.9034867
7/12/2011,2,3,50,Control,291.0762115
7/12/2011,2,3,52,Control,571.6639759
7/12/2011,2,3,54,Control,530.5905505
7/12/2011,2,3,56,Control,446.3500849
7/12/2011,2,3,57,Control,624.4887945
7/12/2011,2,3,61,Control,485.1661708
7/12/2011,2,3,63,Control,517.3127583
7/12/2011,2,3,98,Control,451.6759685
7/12/2011,2,3,100,Control,304.6847835
7/12/2011,2,3,102,Control,411.1113438
7/12/2011,2,3,103,Control,346.1084557
7/12/2011,2,3,105,Control,348.7272299
7/12/2011,2,3,108,Control,482.7357732
7/12/2011,2,3,110,Control,575.5630862
7/12/2011,2,3,111,Control,397.8658617
7/12/2011,2,3,1,Press,858.8759768
7/12/2011,2,3,3,Press,681.9773189
7/12/2011,2,3,5,Press,592.856187
7/12/2011,2,3,8,Press,543.9446666
7/12/2011,2,3,10,Press,351.1996696
7/12/2011,2,3,11,Press,1760.848884
