Plot,Treatment,Date ,X12.0,X13.0,X14.0,X15.0,X16.0,X17.0,X18.0,X19.0,X12.0.3OH,X13.0.ANTEISO,X13.0.ISO,X14.0.ISO,X14.1.w6c,X15.0.ANTEISO,X15.0.ISO,X15.1.w8c,X16.0.2OH,X16.0.3OH,X16.0.ISO,X16.1.w5c,X16.1.w7c,X16.1.w9c,X17.0.ANTEISO,X17.0.CYCLO,X17.0.ISO,X17.1.w7c,X17.1.w8c,X18.1.2OH,X18.1.w9c,X18.2.w6.9c,X18.3.w6.9.12c,X19.0.10.Methyl,X19.0.CYCLO
100,Control,11-Nov,2.895,0,4.47,0.809,17.582,0.298,2.554,1.277,0,0.341,0,0.383,0,1.618,1.831,0,1.149,0,0.596,1.192,3.363,0.383,0.511,0.681,0,1.235,0,0.468,6.599,9.366,1.49,0.639,0.468
102,Control,11-Nov,3.139,0,3.531,0.617,12.164,0,2.13,1.514,0,0.336,0,0,0,1.121,1.57,2.018,1.009,0,0.392,0.56,2.522,0,0.392,0,0,2.13,0,0,4.765,6.11,1.514,0.617,0
103,Control,11-Nov,3.981,0,4.38,0.796,15.528,0,2.057,1.792,0,0.398,0,0,0,1.659,1.858,0,1.062,0,0.597,1.128,3.716,0,0,0.664,0,1.128,0,0,8.228,6.901,0.929,0,0
105,Control,11-Nov,3.167,0,3.647,0.768,12.476,0,1.919,2.399,0,0,0,0,0,1.632,1.823,0,1.056,0,0,1.344,4.127,0,0,0,0,1.152,0,0,4.606,4.894,1.344,0,0
108,Control,11-Nov,2.568,0,3.986,0.811,14.054,0,2.23,1.96,0,0.405,0,0,0,1.554,1.892,0,0.946,0,0.473,1.622,3.581,0,0,0.676,0,0,0,0,6.892,6.824,0.473,0,0
110,Control,11-Nov,3.868,0,4.155,0.716,13.825,0,1.934,1.934,0,0.43,0,0,0,1.361,1.648,0,0.86,0,0,1.074,3.51,0,0,0,0,0,0.788,0,6.375,7.665,0.716,0,0
111,Control,11-Nov,3.175,0,3.382,0.621,11.801,0,2.139,1.932,0,0.414,0,0,0,1.449,1.794,0.621,1.173,0,0.552,1.587,2.899,0,0,0,0,1.242,0,0,4.762,5.038,1.104,0,0
17,Control,11-Nov,0,0,0,0,8.02,0,4.01,6.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.261,0,0,2.256,11.028,7.769,0,0
18,Control,11-Nov,2.533,0.58,3.008,0.844,14.565,0.317,3.166,1.689,0,0,0,0,0,1.478,1.847,0.792,1.214,0,0.58,1.003,3.061,0,0.58,0.792,0,1.847,0,0,7.81,7.916,1.372,0,0.475
19,Control,11-Nov,2.538,0,3.725,0.819,15.636,0.328,2.988,1.228,0,0.491,0,0.409,0,1.678,2.047,0.368,1.023,0,0.737,1.187,3.193,0.409,0.655,0.696,0.409,1.474,0,0.368,7,8.187,2.333,0,0.409
20,Control,11-Nov,3.008,0.334,3.733,0.641,14.819,0.251,2.089,1.003,0.279,0.334,0.279,0.306,0,1.337,1.671,0,0.836,0.279,0.501,0.78,3.008,0.306,0.39,0.501,0.167,1.086,0,0,8.552,11.727,1.226,0.557,0.279
21,Control,11-Nov,2.893,0.454,3.43,0.661,13.388,0.289,2.893,1.281,0,0.289,0,0,0,1.116,1.57,0.578,0.992,0,0.413,0.95,2.769,0,0.496,0.537,0,1.57,0,0,7.645,8.678,1.529,0.62,0.289
22,Control,11-Nov,2.806,0,3.148,0.683,13.804,0.303,2.958,1.289,0,0.266,0,0.266,0,1.176,1.631,0,0.986,0,0.531,1.024,2.692,0.379,0.531,0.569,0.228,1.479,0,0,10.997,11.035,1.289,0.455,0.379
23,Control,11-Nov,2.737,0,3.01,0.712,14.122,0.328,3.065,1.642,0,0.328,0,0,0,1.259,1.861,0,1.095,0,0.547,0.93,2.846,0,0.602,0.657,0,1.533,0,0,6.732,7.991,2.299,0.547,0.438
24,Control,11-Nov,2.481,0,3.256,0.698,13.333,0,5.892,2.17,0,0,0,0,0,1.318,2.17,0.62,1.008,0,0,1.008,2.713,0,0,0,0,1.318,0,0,8.992,9.767,3.411,0,0
25,Control,11-Nov,3.74,0,4.4,0.77,15.842,0,3.3,3.19,0,0,0,0,0,1.54,1.98,1.21,1.21,0,0,1.54,3.08,0,0,0,0,1.76,0,0,7.701,8.031,1.32,0,0
26,Control,11-Nov,1.964,0,3.304,0.873,14.557,0.28,3.18,2.088,0,0.218,0,0.405,0,1.652,2.213,0,0.873,0.312,0.748,1.403,3.585,0.499,0.623,0.81,0.499,1.278,0,0,8.666,7.512,2.494,0.592,0.499
27,Control,11-Nov,2.636,0,4.448,1.071,19.11,0,3.46,2.389,0,0,0,0,0,1.565,1.977,0,1.153,0,0.577,1.565,4.283,0,0,0.741,0,1.318,0,0,8.072,8.237,2.306,0,0
28,Control,11-Nov,2.288,0,2.669,0.763,14.013,0,2.383,2.669,0,0,0,0,0,1.049,2.002,0,0.953,0,0,1.716,4.004,0,0,0,0,1.144,0,0,15.539,16.873,1.716,0,0
